M10922933,0
M10928087,0
M10923245,0
M10922949,10
M10922080,10
M10928541,1
M10924676,0
M10929703,10
M10921151,0
M10923807,10
M10927484,10
M10920537,9
M10928777,0
M10929164,0
M10923977,10
M10929258,10
M10929065,2
M10929164,10
M10922933,10
M10928875,1
M10927484,0
M10922751,0
M10926757,0
M10929703,0
M10925833,10
M10928478,10
M10921864,0
M10929065,10
M10922949,0
M10923990,10
M10929927,10
M10922361,0
M10922529,0
M10925833,0
M10920794,10
M10920486,0
M10920486,10
M10925262,0
M10924666,0
M10923977,0
M10928541,10
M10928478,0
M10928875,10
M10922361,10
M10924666,10
M10923245,10
M10920794,0
M10925996,0
M10923048,10
M10925262,10
M10922529,10
M10929258,0
M10926881,0
M10923807,0
M10924676,10
M10926757,10
M10929184,0
M10928777,10
M10927342,0
M10923048,0
M10926436,0
M10925996,10
M10929927,2
M10927342,10
M10929184,10
M10921151,10
M10922751,10
M10920537,10
M10928087,10
M10926881,10
M10923990,0
M10926436,10
M10921864,10
M10922080,0
